movie,budge,gross,comment_count,view_count,like_count
On the Basis of Sex,20000000.0,38803610.0,2251,8111048,28827
Destroyer,9000000.0,3681096.0,95,129496,661
Vice,60000000.0,70883171.0,1631,2453119,13255
Aquaman,160000000.0,1146894640.0,94633,59057688,648092
Welcome to Marwen,45000000.0,12919471.0,9197,4773419,69748
Second Act,15700000.0,63288854.0,570,5927332,12798
Bumblebee,102000000.0,465195589.0,23010,20725596,168304
Mary Poppins Returns,130000000.0,340246439.0,20728,15694742,178817
Spider-Man: Into The Spider-Verse 3D,90000000.0,375380731.0,41229,30974356,421167
If Beale Street Could Talk,12000000.0,19859167.0,745,878540,9585
The Mule,50000000.0,170770783.0,6621,14909536,81644
Mortal Engines,100000000.0,85287417.0,12393,24042122,112162
That Way Madness Lies,650000.0,1447.0,2,5627,7
Bird Box,19800000.0,0.0,15783,20060237,160915
Mary Queen of Scots,25000000.0,46784211.0,4133,6409774,20382
Ben is Back,13000000.0,9633359.0,250,760528,3026
The Possession of Hannah Grace,6000000.0,42785387.0,3939,10477468,50327
Werk ohne Autor,1400000.0,4794349.0,172,485613,3572
The Favourite,15000000.0,94075194.0,1957,9458033,31916
Robin Hood,99000000.0,84747441.0,5525,14322651,50875
Robin Hood,210000000.0,322459006.0,5525,14322651,50875
Ralph Breaks The Internet,175000000.0,523480372.0,14941,8236195,86532
Creed II,50000000.0,213591522.0,10389,17766184,146412
Green Book,23000000.0,322987195.0,4171,10954836,45452
Instant Family,48000000.0,119736188.0,2254,15916920,48260
Fantastic Beasts: The Crimes of Grindelwald,200000000.0,652220086.0,10753,12519546,145544
Widows,40000000.0,73866088.0,2679,9654524,26642
Bohemian Rhapsody,55000000.0,893919815.0,18757,34007096,304198
The Nutcracker and the Four Realms,132900000.0,170293899.0,5175,4748239,34815
Air Strike,65000000.0,516279.0,171,229524,423
London Fields,8000000.0,433732.0,757,2229261,9557
Suspiria,20000000.0,7023292.0,3020,10866083,30108
Indivisible,2700000.0,3588305.0,245,926728,5598
Can You Ever Forgive Me?,10000000.0,11752387.0,445,4540140,7437
Halloween,10000000.0,254901837.0,52817,31690125,324070
Halloween,15000000.0,77514401.0,52817,31690125,324070
Halloween,325000.0,70000000.0,52817,31690125,324070
First Man,60000000.0,105212037.0,6016,6956890,25102
Beautiful Boy,25000000.0,13214314.0,2916,5117497,39022
Goosebumps 2: Haunted Halloween,35000000.0,93291478.0,4585,6510914,33359
Bad Times at the El Royale,32000000.0,29199399.0,1994,24563825,26179
The Happy Prince,13000000.0,2394619.0,48,210543,686
The Hate U Give,23000000.0,35067665.0,21591,18740199,215723
Venom,116000000.0,853628605.0,131130,79216032,1404623
Venom,25000000.0,881745.0,131130,79216032,1404623
A Star is Born,36000000.0,433449571.0,20001,30612339,212674
Hevi reissu,3800000.0,10153.0,719,563649,13170
Hell Fest,5500000.0,18119231.0,36,111750,665
Night School,29000000.0,103008792.0,4108,13842083,81162
Smallfoot,80000000.0,213686569.0,1421,6835180,18347
The House with a Clock in its Walls,40000000.0,126331750.0,1737,5898063,29379
The Sisters Brothers,38000000.0,13133073.0,970,2880841,12758
Fahrenheit 11/9,5000000.0,6653715.0,9167,3720475,12768
Mandy,6000000.0,1427656.0,2547,3754475,20275
A Simple Favor,20000000.0,97628717.0,3340,14048141,60040
White Boy Rick,30000000.0,25947983.0,2426,5028017,22928
The Predator,88000000.0,159487563.0,13748,12377298,94073
Peppermint,25000000.0,51800758.0,5052,6758413,47486
Kin,30000000.0,10132644.0,1376,10877575,13185
A.X.L.,10000000.0,8259753.0,1764,14220183,31472
Alpha,51000000.0,99624873.0,7840,23607589,153103
Mile 22,35000000.0,66295121.0,4686,10087236,49623
Crazy Rich Asians,30000000.0,238099711.0,16665,24970954,176721
Slender Man,10000000.0,51945949.0,43526,19891125,202087
The Meg,178000000.0,529530715.0,26208,44086669,272687
BlacKkKlansman,15000000.0,93058826.0,11240,18068292,58101
The Darkest Minds,34000000.0,38361428.0,11138,21839332,80862
Christopher Robin,75000000.0,197504758.0,21550,12550482,208945
Teen Titans Go! To The Movies,10000000.0,51620593.0,12506,9331925,43674
The Equalizer 2,77000000.0,190453132.0,3205,9803664,37601
Teefa in Trouble,1500000.0,98806.0,7064,5447450,63357
Unfriended: Dark Web,1000000.0,16434588.0,14260,7750738,93944
Skyscraper,125000000.0,304115534.0,8647,25422022,166839
Hotel Transylvania 3: Summer Vacation,65000000.0,527080347.0,2554,16309386,60614
Eighth Grade,2000000.0,14347472.0,8600,5953565,65206
Sorry to Bother You,3200000.0,18285560.0,2558,3295274,32007
Ant-Man and the Wasp,130000000.0,623144660.0,30795,29551307,489202
The First Purge,13000000.0,137054597.0,24513,16460747,117855
Uncle Drew,18000000.0,46527161.0,1685,12508289,36645
Sicario: Day of the Soldado,35000000.0,75885196.0,4307,14684201,36046
Jurassic World: Fallen Kingdom,170000000.0,1305772799.0,70519,63057971,631969
Gotti,10000000.0,6089100.0,439,543718,2387
Tag,28000000.0,77026186.0,5059,11828941,61898
Incredibles 2,200000000.0,1242520711.0,28384,56446116,417315
Superfly,16000000.0,20723581.0,3323,7403505,26613
Hotel Artemis,15000000.0,12758799.0,933,16829143,10857
Hearts Beat Loud,2000000.0,2420962.0,161,7144628,2710
Oceans 8,70000000.0,297115976.0,38493,19065870,131231
Hereditary,10000000.0,81301558.0,8314,17029357,68346
Adrift,35000000.0,57897191.0,369,4195522,7355
