Number,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
30,2017-12-31,Matilda,25000000.0,0.0,9370285.0
60,2017-12-31,Posledniy bogatyr,8500000.0,0.0,30700192.0
64,2017-12-31,Perfectos Desconocidos,4000000.0,0.0,31166312.0
97,2017-12-31,Utya 22. juli,3600000.0,0.0,173156.0
99,2017-12-31,The Islands,1200000.0,0.0,0.0
23,2017-12-31,The Thousand Miles,20000000.0,0.0,0.0
14,2017-12-25,Phantom Thread,35000000.0,21198205.0,47410406.0
42,2017-12-25,Mollys Game,30000000.0,28780744.0,53296424.0
13,2017-12-22,The Post,50000000.0,81903458.0,179748880.0
63,2017-12-22,Pitch Perfect 3,45000000.0,104897530.0,185736412.0
63,2017-12-22,Father Figures,25000000.0,17501244.0,21038441.0
66,2017-12-22,Downsizing,68000000.0,24449754.0,54462971.0
41,2017-12-20,Jumanji: Welcome to the Jungle,90000000.0,404508916.0,964496193.0
29,2017-12-20,The Greatest Showman,84000000.0,174340174.0,386665550.0
17,2017-12-15,Ferdinand,111000000.0,84410380.0,289843038.0
6,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0
84,2017-12-13,Bright,90000000.0,0.0,0.0
51,2017-12-08,Just Getting Started,22000000.0,6069605.0,6756412.0
92,2017-12-08,"I, Tonya",11000000.0,30014534.0,53797409.0
26,2017-12-01,The Shape of Water,19500000.0,63859435.0,195790794.0
69,2017-12-01,Daisy Winters,4500000.0,0.0,0.0
9,2017-12-01,The Disaster Artist,10000000.0,21120616.0,28717667.0
90,2017-11-22,Darkest Hour,30000000.0,56443120.0,150807172.0
4,2017-11-22,Coco,175000000.0,209726015.0,798008101.0
46,2017-11-17,The Star,20000000.0,40847995.0,62758010.0
10,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0
2,2017-11-17,Wonder,20000000.0,132422809.0,304604712.0
47,2017-11-17,"Roman J. Israel, Esq.",22000000.0,11962712.0,12967012.0
67,2017-11-10,"Three Billboards Outside Ebbing, Missouri",12000000.0,54513740.0,160191915.0
9,2017-11-10,Daddys Home 2,70000000.0,104029443.0,175807183.0
99,2017-11-10,Murder on the Orient Express,55000000.0,102826543.0,345922730.0
89,2017-11-03,LBJ,20000000.0,2468683.0,2507181.0
62,2017-11-03,Lady Bird,10000000.0,48958273.0,78610769.0
84,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0
47,2017-11-01,A Bad Moms Christmas,28000000.0,72110659.0,127710550.0
70,2017-10-27,Jigsaw,10000000.0,38052832.0,104223315.0
55,2017-10-27,Thank You for Your Service,20000000.0,9479390.0,9985316.0
13,2017-10-27,Let There Be Light,3000000.0,7233471.0,7241309.0
80,2017-10-20,Only the Brave,38000000.0,18340051.0,24555177.0
2,2017-10-20,Geostorm,100000000.0,33700160.0,220796009.0
5,2017-10-20,Same Kind of Different as Me,6500000.0,6423605.0,6423605.0
38,2017-10-20,Tyler Perrys Boo 2! A Madea Halloween,20000000.0,47319572.0,47879572.0
46,2017-10-20,The Snowman,35000000.0,6670765.0,43226146.0
15,2017-10-13,Marshall,12000000.0,10051659.0,10116816.0
68,2017-10-13,Happy Death Day,5000000.0,55683845.0,125010260.0
86,2017-10-13,The Foreigner,35000000.0,34393507.0,140783360.0
66,2017-10-10,Demonic,3000000.0,0.0,4668109.0
82,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0
21,2017-10-06,The Florida Project,2000000.0,5904366.0,11295324.0
64,2017-10-06,Visages villages,1000000.0,952432.0,4015686.0
49,2017-09-29,"Don Gato, el inicio de la pandilla",8000000.0,0.0,4604656.0
18,2017-09-29,Flatliners,20000000.0,16883115.0,45173738.0
36,2017-09-29,American Made,50000000.0,51342000.0,135569212.0
21,2017-09-26,"Mune, le gardien de la lune",17000000.0,0.0,14534046.0
80,2017-09-22,Victoria and Abdul,21000000.0,22245070.0,68271146.0
24,2017-09-22,The Lego Ninjago Movie,70000000.0,59281555.0,122737201.0
58,2017-09-22,Friend Request,9900000.0,3759078.0,11310835.0
98,2017-09-22,Stronger,30000000.0,4211129.0,8786287.0
83,2017-09-22,Battle of the Sexes,25000000.0,12638526.0,18445379.0
57,2017-09-22,Kingsman: The Golden Circle,104000000.0,100234838.0,408803696.0
66,2017-09-15,mother!,30000000.0,17800004.0,42531076.0
32,2017-09-15,American Assassin,63000000.0,36249674.0,68310140.0
64,2017-09-08,Home Again,15000000.0,27020284.0,37336874.0
29,2017-09-08,It,35000000.0,327481748.0,697457969.0
57,2017-09-01,Sky Sharks,2500000.0,0.0,0.0
15,2017-09-01,Tulip Fever,25000000.0,2455635.0,6792768.0
53,2017-08-25,Ballerina,30000000.0,21858070.0,96892829.0
22,2017-08-25,All Saints,2000000.0,5802208.0,5941994.0
47,2017-08-25,Polina danser sa vie,4000000.0,165203.0,953314.0
40,2017-08-25,Birth of the Dragon,31000000.0,6901965.0,7220490.0
71,2017-08-18,The Hitmans Bodyguard,30000000.0,75468583.0,172778667.0
28,2017-08-18,Logan Lucky,29000000.0,27778642.0,44264271.0
66,2017-08-18,Patti Cake$,1000000.0,800148.0,1471090.0
86,2017-08-11,The Nut Job 2: Nutty by Nature,40000000.0,28370522.0,57438389.0
9,2017-08-11,Annabelle: Creation,15000000.0,102092201.0,305384865.0
4,2017-08-04,Columbus,700000.0,1017107.0,1110511.0
76,2017-08-04,Kidnap,21000000.0,30718107.0,34836080.0
99,2017-08-04,The Dark Tower,60000000.0,50701325.0,113461527.0
11,2017-07-28,The Emoji Movie,50000000.0,86089513.0,216564840.0
100,2017-07-28,Atomic Blonde,30000000.0,51573925.0,98345423.0
49,2017-07-28,An Inconvenient Sequel,1000000.0,3496795.0,5839322.0
72,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0
43,2017-07-21,Girls Trip,28000000.0,115108515.0,140886353.0
92,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0
5,2017-07-14,Wish Upon,12000000.0,14301505.0,23477345.0
55,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0
97,2017-07-07,A Ghost Story,100000.0,1594798.0,2769782.0
1,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0
34,2017-06-30,Despicable Me 3,75000000.0,264624300.0,1034727750.0
91,2017-06-30,The House,40000000.0,25584504.0,31192425.0
65,2017-06-28,Baby Driver,34000000.0,107825862.0,228104185.0
75,2017-06-23,The Big Sick,5000000.0,42872467.0,53972860.0
35,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0
57,2017-06-16,Arrowhead,180000.0,0.0,0.0
7,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0
94,2017-06-16,Rough Night,20000000.0,22105643.0,46844357.0
96,2017-06-16,All Eyez on Me,45000000.0,44922302.0,54876855.0
67,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0
14,2017-06-09,It Comes at Night,5000000.0,13985117.0,19720203.0
1,2017-06-02,Churchill,10000000.0,1279681.0,7582196.0
64,2017-06-02,Captain Underpants: The First Epic Movie,38000000.0,73921000.0,126577874.0
58,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0
26,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0
90,2017-05-25,Baywatch,60000000.0,58060186.0,175863783.0
79,2017-05-19,"Everything, Everything",10000000.0,34121140.0,61603136.0
15,2017-05-19,Alien: Covenant,97000000.0,74262031.0,238521247.0
34,2017-05-19,Diary of a Wimpy Kid: The Long Haul,22000000.0,20738724.0,35609577.0
56,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0
13,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0
39,2017-05-12,The Wall,3000000.0,1803064.0,4495262.0
46,2017-05-12,Lowriders,916000.0,6179955.0,6188421.0
6,2017-05-05,Chi dn zhunji,23000000.0,0.0,58807172.0
51,2017-05-05,Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0
62,2017-04-28,Baahubali 2: The Conclusion,30000000.0,18985794.0,263502914.0
11,2017-04-28,The Circle,18000000.0,20497844.0,40651864.0
2,2017-04-28,Jy dsh,20000000.0,587470.0,43888531.0
84,2017-04-28,How to Be a Latin Lover,10000000.0,32149404.0,62556228.0
83,2017-04-28,Sleight,250000.0,3930990.0,3934450.0
12,2017-04-21,Unforgettable,12000000.0,11368012.0,16221211.0
93,2017-04-21,Free Fire,10000000.0,1799322.0,3793739.0
82,2017-04-21,The Promise,90000000.0,8224288.0,10551417.0
24,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0
89,2017-04-14,The Lost City of Z,30000000.0,8574339.0,17121823.0
27,2017-04-14,Queen of the Desert,36000000.0,0.0,1578543.0
47,2017-04-07,Going in Style,24000000.0,45018541.0,78672579.0
14,2017-04-07,Gifted,7000000.0,24801212.0,36964656.0
9,2017-04-07,Smurfs: The Lost Village,60000000.0,45020282.0,197578586.0
74,2017-03-31,The Boss Baby,125000000.0,175003033.0,510878762.0
44,2017-03-31,Ghost in the Shell,110000000.0,40563557.0,167910690.0
14,2017-03-31,The Zookeepers Wife,20000000.0,17445186.0,26308749.0
97,2017-03-24,Power Rangers,120000000.0,85364450.0,142531552.0
70,2017-03-24,Life,58000000.0,30234022.0,100929666.0
60,2017-03-24,CHiPS,25000000.0,18600152.0,23190292.0
31,2017-03-17,The Belko Experiment,5000000.0,10166820.0,11792942.0
37,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0
47,2017-03-17,T2: Trainspotting,18000000.0,2402004.0,42091262.0
80,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0
13,2017-03-07,Departure,1100000.0,0.0,27561.0
62,2017-03-03,Logan,127000000.0,226277068.0,615461394.0
22,2017-03-03,Before I Fall,5000000.0,12241072.0,18945682.0
55,2017-03-03,Table 19,5000000.0,3614896.0,4620399.0
59,2017-02-24,Get Out,5000000.0,176040665.0,255367951.0
51,2017-02-24,Rock Dog,60000000.0,9420546.0,24148488.0
20,2017-02-24,Collide,29200000.0,2280004.0,5466698.0
87,2017-02-24,Bitter Harvest,21000000.0,557241.0,606162.0
53,2017-02-24,The Girl with all the Gifts,5250000.0,0.0,4801837.0
36,2017-02-17,Fist Fight,25000000.0,32187017.0,40286416.0
95,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0
68,2017-02-17,In Dubious Battle,15000000.0,0.0,214182.0
45,2017-02-10,The Lego Batman Movie,80000000.0,175750384.0,310660018.0
95,2017-02-10,Fifty Shades Darker,55000000.0,114434010.0,381398492.0
99,2017-02-10,John Wick: Chapter Two,40000000.0,92029184.0,171317271.0
42,2017-02-03,I Am Not Your Negro,1000000.0,7123919.0,9617402.0
42,2017-02-03,The Comedian,15000000.0,1658706.0,1658706.0
91,2017-02-03,The Space Between Us,30000000.0,7885294.0,16481405.0
73,2017-02-03,Growing up Smith,2000000.0,35312.0,35312.0
45,2017-02-03,Rings,25000000.0,27793018.0,82917283.0
85,2017-01-31,Two Lovers and a Bear,6840000.0,0.0,22273.0
93,2017-01-27,A Dogs Purpose,25000000.0,64321890.0,203671625.0
56,2017-01-27,Emily,27000.0,3547.0,3547.0
89,2017-01-27,Resident Evil: The Final Chapter,40000000.0,26844692.0,314101190.0
36,2017-01-20,The Resurrection of Gavin Stone,2000000.0,2303792.0,2303792.0
97,2017-01-20,The Founder,15000000.0,12786053.0,24403192.0
19,2017-01-20,xXx: Return of Xander Cage,85000000.0,44898413.0,345033359.0
60,2017-01-20,Split,5000000.0,138141585.0,278964806.0
87,2017-01-13,The Bye Bye Man,7400000.0,22395806.0,31187727.0
84,2017-01-13,Monster Trucks,125000000.0,33370166.0,61642798.0
46,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414530.0
96,2017-01-06,Underworld: Blood Wars,35000000.0,30353973.0,81209222.0
