Number,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
76,2020-12-31,355,75000000.0,0.0,0.0
98,2020-12-31,Moonfall,150000000.0,0.0,0.0
10,2020-12-31,Hannibal the Conqueror,50000000.0,0.0,0.0
37,2020-09-30,Unhinged,29000000.0,0.0,0.0
32,2020-07-17,Tenet,224000000.0,0.0,0.0
40,2020-02-21,Call of the Wild,82000000.0,0.0,0.0
85,2019-12-31,Army of the Dead,90000000.0,0.0,0.0
49,2019-12-31,Down Under Cover,40000000.0,0.0,0.0
21,2019-12-31,Rogue City,13000000.0,0.0,0.0
25,2019-12-31,Eli,11000000.0,0.0,0.0
37,2019-12-31,Reagan,25000000.0,0.0,0.0
12,2019-11-22,The Rhythm Section,50000000.0,0.0,0.0
57,2019-11-08,Midway,59500000.0,0.0,0.0
11,2019-11-08,Arctic Dogs,50000000.0,0.0,0.0
69,2019-10-11,Gisaengchung,11800000.0,0.0,88480000.0
13,2019-09-20,Ad Astra,49800000.0,0.0,0.0
48,2019-09-13,The Goldfinch,40000000.0,0.0,0.0
75,2019-08-30,PLAYMOBIL,75000000.0,0.0,0.0
71,2019-08-14,Blinded by the Light,15000000.0,0.0,0.0
81,2019-07-26,Once Upon a Timein Hollywood,90000000.0,16850000.0,16850000.0
94,2019-07-12,Crawl,17000000.0,28597793.0,38497793.0
38,2019-07-02,Spider-Man: Far From Home,160000000.0,335760270.0,990522079.0
93,2019-06-21,Anna,30000000.0,7638768.0,19986597.0
58,2019-06-21,Burn Your Maps,8000000.0,0.0,0.0
44,2019-06-21,Kursk,40000000.0,0.0,5213785.0
35,2019-06-14,Men in Black: International,110000000.0,78625602.0,250330133.0
56,2019-06-14,Shaft,30000000.0,21128796.0,21128796.0
100,2019-06-07,Late Night,4000000.0,15219609.0,16896083.0
50,2019-06-07,The Secret Life of Pets 2,80000000.0,153046255.0,320006352.0
4,2019-06-07,Dark Phoenix,350000000.0,65504972.0,246209283.0
76,2019-05-31,Rocketman,41000000.0,94602917.0,183195288.0
25,2019-05-31,Godzilla: King of the Monsters,170000000.0,109712515.0,382515871.0
71,2019-05-31,MA,5000000.0,45373120.0,60172844.0
83,2019-05-24,Aladdin,182000000.0,343962586.0,1000162586.0
22,2019-05-24,BrightBurn,7000000.0,17259427.0,32135399.0
83,2019-05-17,John Wick: Chapter 3  Parabellum,40000000.0,169263165.0,316394593.0
6,2019-05-17,The Sun is Also a Star,9000000.0,4950029.0,5608031.0
32,2019-05-10,The Professor and the Madman,25000000.0,0.0,5421631.0
79,2019-05-10,Pokmon: Detective Pikachu,150000000.0,143733273.0,429685360.0
10,2019-05-03,UglyDolls,45000000.0,20150241.0,24899254.0
26,2019-05-03,El Chicano,8000000.0,700261.0,700261.0
80,2019-05-03,Long Shot,40000000.0,30316271.0,50839852.0
82,2019-05-03,The Intruder,8000000.0,35388976.0,36307996.0
3,2019-04-26,Avengers: Endgame,400000000.0,855869749.0,2791767021.0
48,2019-04-23,Living Dark: The Story of Ted the Caver,1750000.0,0.0,0.0
81,2019-04-12,Hellboy,50000000.0,21903748.0,40786480.0
1,2019-04-05,Shazam!,85000000.0,140371656.0,363664533.0
68,2019-04-05,Pet Sematary,21000000.0,54724696.0,109501146.0
43,2019-04-05,The Best of Enemies,10000000.0,10205616.0,10209813.0
24,2019-03-29,Dumbo,170000000.0,114727689.0,344930005.0
42,2019-03-29,Unplanned,6000000.0,18923776.0,18923776.0
95,2019-03-22,Us,20000000.0,175006930.0,254237294.0
1,2019-03-15,Five Feet Apart,7000000.0,45729221.0,86856814.0
4,2019-03-15,Captive State,25000000.0,5958315.0,9142523.0
97,2019-03-15,Wonder Park,100000000.0,45216793.0,115130648.0
98,2019-03-08,Captain Marvel,175000000.0,426829839.0,1123365437.0
59,2019-02-22,How to Train Your Dragon: The Hidden World,129000000.0,160799505.0,519246496.0
95,2019-02-14,Fighting With My Family,11000000.0,22958583.0,38730232.0
27,2019-02-14,Alita: Battle Angel,170000000.0,85710210.0,402971268.0
36,2019-02-13,Isnt it Romantic,31000000.0,48791187.0,48791187.0
88,2019-02-13,Happy Death Day 2U,9000000.0,28051045.0,64187523.0
46,2019-02-08,The Prodigy,6000000.0,14856291.0,19789712.0
27,2019-02-08,Cold Pursuit,60000000.0,32138862.0,62599159.0
28,2019-02-08,What Men Want,20000000.0,54611903.0,69911903.0
11,2019-02-08,The LEGO Movie 2: The Second Part,99000000.0,105806508.0,190209817.0
58,2019-02-01,Braid,1660000.0,0.0,80745.0
89,2019-02-01,Velvet Buzzsaw,21000000.0,0.0,0.0
88,2019-02-01,Miss Bala,15000000.0,14998027.0,15362298.0
59,2019-01-25,The Kid Who Would Be King,59000000.0,16790790.0,28296983.0
100,2019-01-25,Serenity,25000000.0,8547045.0,11865248.0
24,2019-01-22,Renegades,77500000.0,0.0,1521672.0
7,2019-01-18,Glass,20000000.0,111035005.0,245303505.0
46,2019-01-16,Dragon Ball Super: Broly,8500000.0,30376755.0,122747755.0
90,2019-01-11,The Upside,37500000.0,108235497.0,119024536.0
45,2019-01-11,A Dogs Way Home,61000000.0,41952715.0,81153454.0
41,2019-01-04,PMC: deo beong-keo,10300000.0,0.0,12478635.0
89,2018-12-31,Red 11,7000.0,0.0,0.0
47,2018-12-31,The Crow,40000000.0,0.0,0.0
88,2018-12-25,On the Basis of Sex,20000000.0,24622687.0,38803610.0
63,2018-12-25,Holmes & Watson,42000000.0,30568743.0,41926605.0
15,2018-12-25,Destroyer,9000000.0,1533324.0,3681096.0
4,2018-12-25,Vice,60000000.0,47836282.0,70883171.0
39,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0
23,2018-12-21,Welcome to Marwen,45000000.0,10763520.0,12919471.0
90,2018-12-21,Second Act,15700000.0,39282227.0,63288854.0
65,2018-12-21,Bumblebee,102000000.0,127195589.0,465195589.0
48,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,340246439.0
47,2018-12-14,Spider-Man: Into The Spider-Verse 3D,90000000.0,190173195.0,375380731.0
4,2018-12-14,If Beale Street Could Talk,12000000.0,14915773.0,19859167.0
4,2018-12-14,The Mule,50000000.0,103804407.0,170770783.0
7,2018-12-14,Mortal Engines,100000000.0,15951040.0,85287417.0
12,2018-12-14,That Way Madness Lies,650000.0,1447.0,1447.0
24,2018-12-13,Bird Box,19800000.0,0.0,0.0
67,2018-12-07,Mary Queen of Scots,25000000.0,16468499.0,46784211.0
2,2018-12-07,Ben is Back,13000000.0,3703182.0,9633359.0
47,2018-11-30,The Possession of Hannah Grace,6000000.0,14836174.0,42785387.0
30,2018-11-30,Werk ohne Autor,1400000.0,1303747.0,4794349.0
46,2018-11-23,The Favourite,15000000.0,34366783.0,94075194.0
12,2018-11-21,Robin Hood,99000000.0,30824628.0,84747441.0
5,2018-11-21,Ralph Breaks The Internet,175000000.0,201091711.0,523480372.0
100,2018-11-21,Creed II,50000000.0,115715889.0,213591522.0
78,2018-11-16,Green Book,23000000.0,85080171.0,322987195.0
24,2018-11-16,Instant Family,48000000.0,67363237.0,119736188.0
62,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0
55,2018-11-16,Widows,40000000.0,42402632.0,73866088.0
32,2018-11-09,Dr. Seuss The Grinch,75000000.0,270620950.0,511006399.0
45,2018-11-09,The Girl in the Spiders Web,43000000.0,14828555.0,34983342.0
88,2018-11-02,Bohemian Rhapsody,55000000.0,216303339.0,893919815.0
38,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0
45,2018-11-02,Nobodys Fool,19000000.0,31713110.0,32589493.0
25,2018-10-26,Air Strike,65000000.0,0.0,516279.0
34,2018-10-26,London Fields,8000000.0,252676.0,433732.0
88,2018-10-26,Suspiria,20000000.0,2483472.0,7023292.0
3,2018-10-26,Indivisible,2700000.0,3511417.0,3588305.0
49,2018-10-19,Can You Ever Forgive Me?,10000000.0,8803865.0,11752387.0
45,2018-10-19,Halloween,10000000.0,159342015.0,254901837.0
10,2018-10-12,First Man,60000000.0,44936545.0,105212037.0
2,2018-10-12,Beautiful Boy,25000000.0,7634767.0,13214314.0
68,2018-10-12,Goosebumps 2: Haunted Halloween,35000000.0,46697321.0,93291478.0
16,2018-10-12,Bad Times at the El Royale,32000000.0,17839115.0,29199399.0
17,2018-10-10,The Happy Prince,13000000.0,464495.0,2394619.0
85,2018-10-05,The Hate U Give,23000000.0,29719483.0,35067665.0
6,2018-10-05,Venom,116000000.0,213511408.0,853628605.0
10,2018-10-05,A Star is Born,36000000.0,215288866.0,433449571.0
85,2018-10-05,Hevi reissu,3800000.0,10153.0,10153.0
30,2018-09-28,Hell Fest,5500000.0,11107431.0,18119231.0
23,2018-09-28,Night School,29000000.0,77339130.0,103008792.0
74,2018-09-28,Smallfoot,80000000.0,83240103.0,213686569.0
21,2018-09-21,The House with a Clock in its Walls,40000000.0,68549695.0,126331750.0
87,2018-09-21,The Sisters Brothers,38000000.0,3143056.0,13133073.0
39,2018-09-21,Fahrenheit 11/9,5000000.0,6352306.0,6653715.0
81,2018-09-14,Mandy,6000000.0,1214525.0,1427656.0
31,2018-09-14,A Simple Favor,20000000.0,53548586.0,97628717.0
48,2018-09-14,White Boy Rick,30000000.0,24004833.0,25947983.0
88,2018-09-14,The Predator,88000000.0,51024708.0,159487563.0
28,2018-09-07,Peppermint,25000000.0,35418723.0,51800758.0
96,2018-08-31,Kin,30000000.0,5718096.0,10132644.0
63,2018-08-24,A.X.L.,10000000.0,6501381.0,8259753.0
83,2018-08-17,Alpha,51000000.0,35851379.0,99624873.0
83,2018-08-17,Mile 22,35000000.0,36108758.0,66295121.0
44,2018-08-15,Crazy Rich Asians,30000000.0,174532921.0,238099711.0
89,2018-08-10,Slender Man,10000000.0,30564825.0,51945949.0
96,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0
28,2018-08-10,BlacKkKlansman,15000000.0,49275340.0,93058826.0
70,2018-08-03,The Darkest Minds,34000000.0,12695691.0,38361428.0
47,2018-08-03,Christopher Robin,75000000.0,99215042.0,197504758.0
93,2018-07-27,Teen Titans Go! To The Movies,10000000.0,29790236.0,51620593.0
94,2018-07-27,Mission: ImpossibleFallout,178000000.0,220159104.0,787456552.0
25,2018-07-20,The Equalizer 2,77000000.0,102084362.0,190453132.0
18,2018-07-20,Teefa in Trouble,1500000.0,0.0,98806.0
39,2018-07-20,Unfriended: Dark Web,1000000.0,8866745.0,16434588.0
81,2018-07-13,Skyscraper,125000000.0,68420120.0,304115534.0
81,2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000.0,167500092.0,527080347.0
5,2018-07-13,Eighth Grade,2000000.0,13539710.0,14347472.0
64,2018-07-06,Sorry to Bother You,3200000.0,17493096.0,18285560.0
44,2018-07-06,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0
56,2018-07-04,The First Purge,13000000.0,69488745.0,137054597.0
92,2018-06-29,Uncle Drew,18000000.0,42469946.0,46527161.0
64,2018-06-29,Sicario: Day of the Soldado,35000000.0,50065850.0,75885196.0
15,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0
74,2018-06-15,Gotti,10000000.0,4286367.0,6089100.0
57,2018-06-15,Tag,28000000.0,54730625.0,77026186.0
46,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0
56,2018-06-13,Superfly,16000000.0,20537137.0,20723581.0
22,2018-06-08,Hotel Artemis,15000000.0,6708137.0,12758799.0
35,2018-06-08,Hearts Beat Loud,2000000.0,2386254.0,2420962.0
3,2018-06-08,Oceans 8,70000000.0,140218711.0,297115976.0
65,2018-06-08,Hereditary,10000000.0,44069456.0,81301558.0
94,2018-06-01,Adrift,35000000.0,31445011.0,57897191.0
99,2018-06-01,Upgrade,3000000.0,11977130.0,16553285.0
57,2018-06-01,Action Point,19000000.0,5059608.0,5103675.0
13,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0
