movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published,Year
Bodom Official Trailer,ZKBKYe_Yka4,BODOM Movie (2016) - official trailer - LAKE BODOM,Don Films,UCLsHa4NE0nbC3C6WueVb6oA,0,628404,1584,2016-06-03T09:54:04.000Z,2016
Chemical Cut Official Trailer,t8MiE-AGG5c,Chemical Cut | Official Selection | BIFF 2016,The Buffalo International Film Festival,UCR2F-BC0XopLqV50ruWUz5A,9,9721,39,2016-09-13T21:23:40.000Z,2016
Airlift (2016) Official Trailer,vb5xCMbMfZ0,"AIRLIFT THEATRICAL TRAILER | Akshay Kumar, Nimrat Kaur | Releasing on 22nd January, 2016 |T-Series",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,3223,8105785,43849,2016-01-02T11:33:10.000Z,2016
Paterson Official Trailer,m8pGJBgiiDU,Paterson Official Trailer 1 (2016) - Adam Driver Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,761,3261589,11002,2016-09-30T15:55:36.000Z,2016
Hidden Figures Official Trailer,5wfrDhgUMGI,Hidden Figures | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,1500,7337538,11147,2016-11-16T14:00:07.000Z,2016
Live by Night Official Trailer,CtFZcAuH-qI,Live By Night - Official Trailer [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,1263,3325637,9754,2016-09-09T00:43:17.000Z,2016
Silence Official Trailer,A0KUWzfugg4,SILENCE Trailer (2016),KinoCheck International,UCLRlryMfL8ffxzrtqv0_k_w,1974,3631605,14698,2016-11-23T06:25:38.000Z,2016
Why Him? Official Trailer,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,20th Century Fox UK,UCzBay5naMlbKZicNqYmAQdQ,2311,7696840,31728,2016-06-30T13:00:16.000Z,2016
Assassins Creed Official Trailer,4haJD6W136c,Assassin’s Creed | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,8761,14341137,82581,2016-10-18T13:00:11.000Z,2016
Sing Official Trailer,9qPgK_u4vX8,"Sing Official Trailer #1 (2016) - Scarlett Johansson, Matthew McConaughey Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,4713,9111629,42223,2016-05-24T01:05:07.000Z,2016
