movie,budge,gross,comment_count,view_count,like_count,year
Bodom,1250000.0,726460.0,0,628404,1584,2016
Chemical Cut,1000000.0,0.0,9,9721,39,2016
Airlift (2016),4400000.0,9969237.0,3223,8105785,43849,2016
Paterson,5000000.0,10727536.0,761,3261589,11002,2016
Hidden Figures,25000000.0,231771716.0,1500,7337538,11147,2016
Live by Night,65000000.0,21774432.0,1263,3325637,9754,2016
Silence,46500000.0,23726626.0,1974,3631605,14698,2016
Why Him?,38000000.0,117425156.0,2311,7696840,31728,2016
Assassins Creed,125000000.0,240759682.0,8761,14341137,82581,2016
Sing,75000000.0,634454789.0,4713,9111629,42223,2016
Passengers,110000000.0,302239672.0,16997,29961711,140219,2016
Patriots Day,40000000.0,52837989.0,3400,5742097,12672,2016
Dangal,9500000.0,294654618.0,32113,64753268,365767,2016
Rogue One: A Star Wars Story,200000000.0,1049102856.0,52682,38334310,302228,2016
Fences,24000000.0,64282881.0,2231,4990323,18901,2016
Collateral Beauty,36000000.0,85309093.0,4015,11012865,53921,2016
La La Land,20000000.0,426351163.0,8213,36080584,136340,2016
Office Christmas Party,45000000.0,91323299.0,762,3449266,11229,2016
The Bounce Back,3000000.0,421404.0,112,570826,2490,2016
Oddball,7000000.0,10237229.0,215,1205391,1880,2016
Incarnate,5000000.0,9371036.0,499,2173652,3680,2016
Jackie,9000000.0,36588512.0,1418,4351961,13775,2016
Believe,3500000.0,890303.0,1073,1288937,12925,2016
Miss Sloane,18000000.0,7719630.0,1290,3281648,8837,2016
Lion,12000000.0,149570720.0,5184,14957304,84420,2016
Allied,106000000.0,119266661.0,1866,6186274,21112,2016
Moana,150000000.0,637517365.0,13020,35839529,150889,2016
Rules Dont Apply,26700000.0,3871448.0,428,5860482,33035,2016
Fantastic Beasts and Where to Find Them,180000000.0,802402853.0,813,2862885,12826,2016
A Street Cat Named Bob,8000000.0,17382693.0,1193,2063335,14245,2016
Manchester by the Sea,8500000.0,77733867.0,2145,8621004,24108,2016
The Edge of Seventeen,9000000.0,19096003.0,817,2761265,25856,2016
Bleed for This,16000000.0,6603926.0,2732,7478861,59351,2016
The History of Love,20000000.0,476624.0,61,1543504,3541,2016
Nocturnal Animals,22500000.0,32398681.0,1930,6845127,20417,2016
Billy Lynns Long Halftime Walk,40000000.0,30230402.0,1782,3406366,12496,2016
USS Indianapolis: Men of Courage,40000000.0,1663785.0,2140,3525849,11150,2016
Almost Christmas,17000000.0,42493506.0,1072,4951630,11033,2016
Arrival,47000000.0,203127894.0,13865,20624506,95049,2016
Shut In,10000000.0,11360665.0,586,4193556,4409,2016
Doctor Strange,165000000.0,676404566.0,28653,40125570,257664,2016
Trolls,125000000.0,344150134.0,4202,13848432,54443,2016
Loving,9000000.0,12898064.0,2421,3242914,26363,2016
Hacksaw Ridge,40000000.0,168904682.0,12465,20900372,104710,2016
Reign of Assassins,14000000.0,11354230.0,32,481675,406,2016
A.C.O.R.N.S.: Operation Crackdown,8500000.0,1353287.0,0,0,0,2016
Inferno,75000000.0,219519367.0,2421,11953280,25750,2016
Moonlight,1500000.0,65245512.0,6989,15837472,52031,2016
Jack Reacher: Never Go Back,60000000.0,159946489.0,3351,11362214,40314,2016
Ouija: Origin of Evil,9000000.0,81831866.0,3720,6954828,18701,2016
Im Not Ashamed,1500000.0,2082980.0,2221,1212363,9983,2016
31,1500000.0,922727.0,977,1769656,5879,2016
Tyler Perrys Boo! A Madea Halloween,20000000.0,73206343.0,8851,6818496,57157,2016
Mi America,2100000.0,3330.0,2,7194,9,2016
The Accountant,40000000.0,152962083.0,4077,10768558,34656,2016
Kevin Hart: What Now?,10000000.0,23591043.0,869,2561586,15086,2016
Max Steel,10000000.0,4563080.0,16433,33810034,131832,2016
The Girl on the Train,45000000.0,174278214.0,1521,4306185,12158,2016
Middle School: The Worst Years of My Life,8500000.0,23311293.0,2758,5280553,36901,2016
The Birth of a Nation,10000000.0,16891011.0,4148,2542492,8491,2016
The Birth of a Nation,110000.0,11000000.0,4148,2542492,8491,2016
Miss Peregrines Home for Peculiar Children,110000000.0,295986876.0,11177,14946326,87680,2016
American Honey,3500000.0,2611750.0,1171,3488022,11274,2016
Denial,10000000.0,9263940.0,2631,1405930,6948,2016
Deepwater Horizon,156000000.0,122603824.0,1986,5712913,13226,2016
Queen of Katwe,15000000.0,10055481.0,1756,3016341,16694,2016
The Dressmaker,11900000.0,24041617.0,466,1588451,9647,2016
The Magnificent Seven,90000000.0,162525156.0,4030,12294396,25979,2016
Storks,70000000.0,183353431.0,2674,6695951,28214,2016
Bridget Joness Baby,35000000.0,205822688.0,1617,6352588,9454,2016
Snowden,50000000.0,35380918.0,1750,2518967,18308,2016
Blair Witch,10000000.0,38985577.0,3416,1123498,28536,2016
When the Bough Breaks,10000000.0,30768449.0,796,4185775,7712,2016
Robinson Crusoe,13000000.0,42446455.0,98,963016,999,2016
The Disappointments Room,15000000.0,3503761.0,1063,2820990,5884,2016
Kicks,10000000.0,150191.0,957,1158308,9498,2016
Sully,60000000.0,238524556.0,8470,15834093,59137,2016
Antibirth,2500000.0,0.0,46,108913,544,2016
Yoga Hosers,5000000.0,22958.0,1275,1838968,7378,2016
Morgan,8000000.0,7298786.0,2126,6261623,12827,2016
The Light Between Oceans,20000000.0,22281732.0,329,1228607,4405,2016
Greater,9000000.0,2000093.0,207,824026,2573,2016
Mechanic: Resurrection,40000000.0,109738840.0,1731,10217896,33793,2016
Dont Breathe,10000000.0,158973685.0,10730,26021185,81164,2016
Hands of Stone,20000000.0,5031975.0,308,571576,1653,2016
Kubo and the Two Strings,55000000.0,77548122.0,560,3662570,6660,2016
Ben-Hur,95000000.0,91669648.0,4140,8187245,16452,2016
Ben-Hur,15000000.0,73259017.0,4140,8187245,16452,2016
War Dogs,50000000.0,86234503.0,2734,11890399,29450,2016
Sausage Party,19000000.0,141344255.0,7094,12058211,52807,2016
Florence Foster Jenkins,29000000.0,56000339.0,583,1966924,7064,2016
Hell or High Water,12000000.0,37584304.0,1073,5980146,9786,2016
Petes Dragon,65000000.0,137768975.0,4379,10725521,34095,2016
Petes Dragon,10000000.0,36000000.0,4379,10725521,34095,2016
Suicide Squad,175000000.0,746059887.0,80877,88265995,683720,2016
Operation Chromite,12700000.0,49196532.0,356,1532092,2714,2016
Jason Bourne,120000000.0,416168316.0,3020,11210502,34366,2016
The Land,1000000.0,43756.0,615,674041,5484,2016
Bad Moms,20000000.0,180998716.0,2290,14882196,19824,2016
Nerve,20000000.0,70652284.0,12418,34479307,176485,2016
Star Trek Beyond,185000000.0,335802233.0,3495,4313284,23556,2016
Dont Think Twice,3000000.0,4417983.0,204,1283452,2210,2016
Ice Age: Collision Course,105000000.0,402156682.0,2339,6465922,14890,2016
Lights Out,5000000.0,148806510.0,9745,22377033,76123,2016
Fight Valley,20000000.0,0.0,62,115638,220,2016
Hillarys America: The Secret History of the Democratic Party,5000000.0,13099931.0,918,400289,7555,2016
